id,player_name,jersey_number,games_played,games_started,goals,assists,shots,shots_on_target
1,Mohamed Salah,11,15,15,13,9,43,28
2,L. Díaz,7,15,10,5,2,16,10
3,C. Gakpo,18,15,7,3,1,16,8
4,D. Szoboszlai,8,15,11,1,1,12,7
5,C. Jones,17,12,7,2,1,8,7
6,D. Núñez,9,12,6,2,2,13,7
7,A. Mac Allister,10,14,12,0,0,8,5
8,Diogo Jota,20,8,7,3,2,11,4
9,V. van Dijk,4,15,15,1,1,9,3
10,R. Gravenberch,38,15,15,0,1,5,2
11,A. Robertson,26,14,13,0,0,3,2
12,T. Alexander-Arnold,66,14,13,0,3,9,2
13,I. Konaté,5,12,11,1,1,6,2
14,C. Bradley,84,7,1,0,0,3,2
15,J. Gomez,2,6,3,0,0,3,2
