,Comp,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,year
0,Premier League,Matchweek 1,Away,W,2.0,0.0,Ipswich Town,2.6,0.5,62.0,2024
1,Premier League,Matchweek 2,Home,W,2.0,0.0,Brentford,2.5,0.5,62.0,2024
2,Premier League,Matchweek 3,Away,W,3.0,0.0,Manchester Utd,1.8,1.4,47.0,2024
3,Premier League,Matchweek 4,Home,L,0.0,1.0,Nott'ham Forest,0.9,0.4,68.0,2024
4,Champions Lg,League phase,Away,W,3.0,1.0,it Milan,3.1,0.6,51.0,2024
5,Premier League,Matchweek 5,Home,W,3.0,0.0,Bournemouth,2.0,1.1,58.0,2024
6,EFL Cup,Third round,Home,W,5.0,1.0,West Ham,,,61.0,2024
7,Premier League,Matchweek 6,Away,W,2.0,1.0,Wolves,2.5,0.6,55.0,2024
8,Champions Lg,League phase,Home,W,2.0,0.0,it Bologna,1.2,0.6,51.0,2024
9,Premier League,Matchweek 7,Away,W,1.0,0.0,Crystal Palace,1.4,0.6,68.0,2024
10,Premier League,Matchweek 8,Home,W,2.0,1.0,Chelsea,1.9,1.0,43.0,2024
11,Champions Lg,League phase,Away,W,1.0,0.0,de RB Leipzig,2.3,0.8,57.0,2024
12,Premier League,Matchweek 9,Away,D,2.0,2.0,Arsenal,0.8,0.9,55.0,2024
13,EFL Cup,Fourth round,Away,W,3.0,2.0,Brighton,,,55.0,2024
14,Premier League,Matchweek 10,Home,W,2.0,1.0,Brighton,1.6,1.0,49.0,2024
15,Champions Lg,League phase,Home,W,4.0,0.0,de Leverkusen,3.7,0.9,47.0,2024
16,Premier League,Matchweek 11,Home,W,2.0,0.0,Aston Villa,2.0,1.2,62.0,2024
17,Premier League,Matchweek 12,Away,W,3.0,2.0,Southampton,3.1,1.3,62.0,2024
18,Champions Lg,League phase,Home,W,2.0,0.0,es Real Madrid,2.7,1.2,63.0,2024
19,Premier League,Matchweek 13,Home,W,2.0,0.0,Manchester City,3.4,0.8,44.0,2024
20,Premier League,Matchweek 14,Away,D,3.0,3.0,Newcastle Utd,1.9,2.1,58.0,2024
21,Premier League,Matchweek 15,Away,,,,Everton,,,,2024
22,Champions Lg,League phase,Away,W,1.0,0.0,es Girona,1.8,1.2,62.0,2024
23,Premier League,Matchweek 16,Home,D,2.0,2.0,Fulham,2.1,1.2,61.0,2024
24,EFL Cup,Quarter-finals,Away,W,2.0,1.0,Southampton,,,69.0,2024
25,Premier League,Matchweek 17,Away,,,,Tottenham,,,,2024
26,Premier League,Matchweek 18,Home,,,,Leicester City,,,,2024
27,Premier League,Matchweek 19,Away,,,,West Ham,,,,2024
28,Premier League,Matchweek 20,Home,,,,Manchester Utd,,,,2025
29,FA Cup,Third round proper,Home,,,,Acc'ton Stanley,,,,2025
30,Premier League,Matchweek 21,Away,,,,Nott'ham Forest,,,,2025
31,Premier League,Matchweek 22,Away,,,,Brentford,,,,2025
32,Champions Lg,League phase,Home,,,,fr Lille,,,,2025
33,Premier League,Matchweek 23,Home,,,,Ipswich Town,,,,2025
34,Champions Lg,League phase,Away,,,,nl PSV Eindhoven,,,,2025
35,Premier League,Matchweek 24,Away,,,,Bournemouth,,,,2025
36,Premier League,Matchweek 25,Home,,,,Wolves,,,,2025
37,Premier League,Matchweek 26,Away,,,,Manchester City,,,,2025
38,Premier League,Matchweek 27,Home,,,,Newcastle Utd,,,,2025
39,Premier League,Matchweek 28,Home,,,,Southampton,,,,2025
40,Premier League,Matchweek 29,Away,,,,Aston Villa,,,,2025
41,Premier League,Matchweek 30,Home,,,,Everton,,,,2025
42,Premier League,Matchweek 31,Away,,,,Fulham,,,,2025
43,Premier League,Matchweek 32,Home,,,,West Ham,,,,2025
44,Premier League,Matchweek 33,Away,,,,Leicester City,,,,2025
45,Premier League,Matchweek 34,Home,,,,Tottenham,,,,2025
46,Premier League,Matchweek 35,Away,,,,Chelsea,,,,2025
47,Premier League,Matchweek 36,Home,,,,Arsenal,,,,2025
48,Premier League,Matchweek 37,Away,,,,Brighton,,,,2025
49,Premier League,Matchweek 38,Home,,,,Crystal Palace,,,,2025
